company_id,rank,offer_product,prob,expected_revenue
comp_4d0d0ce225b5,1,Тарифы Webinar СМБ,0.9658712770221723,11145.638377123945
comp_4d0d0ce225b5,2,Расширения,0.01421131224452529,177.61620180894667
comp_4d0d0ce225b5,3,Enterprise-50,0.008851971156409257,126.70781817748268
comp_4d2872074eb6,1,Тарифы Webinar СМБ,0.8144108578681262,9397.866080236538
comp_4d2872074eb6,2,Расширения,0.12140688166697347,1517.3707272150914
comp_4d2872074eb6,3,Enterprise-300,0.01595305527897154,306.6380880643168
comp_4d40e268b1d7,1,Расширения,0.6966504916277703,8706.895758970302
comp_4d40e268b1d7,2,Тарифы Webinar СМБ,0.23560081213582135,2718.7074674364703
comp_4d40e268b1d7,3,Enterprise-1000,0.01578246350886879,400.8150166591961
comp_4d47e7762125,1,Тарифы Webinar СМБ,0.9570104420825998,11043.389077134054
comp_4d47e7762125,2,Расширения,0.02438628112157565,304.78526926520095
comp_4d47e7762125,3,Enterprise-100,0.004043419889163968,60.0266363921607
comp_4d4fff1eebd4,1,Тарифы Webinar СМБ,0.9683309111466675,11174.021240496979
comp_4d4fff1eebd4,2,Расширения,0.02342204034033716,292.733969410126
comp_4d4fff1eebd4,3,Enterprise-300,0.0012569051791304756,24.159322102690886
comp_4dad78cf04c9,1,Расширения,0.9357039679948691,11694.640294518449
comp_4dad78cf04c9,2,Тарифы Webinar СМБ,0.02347141264124569,270.8475588031952
comp_4dad78cf04c9,3,Enterprise-500,0.016222172492235485,324.3136724647718
comp_4db08d152851,1,Тарифы Webinar СМБ,0.473411584346602,5462.916693139651
comp_4db08d152851,2,Расширения,0.37194341476842174,4648.633108773377
comp_4db08d152851,3,Enterprise-100,0.11079952341256377,1644.8755970495636
comp_4e16be0a6f8f,1,Расширения,0.598176547556863,7476.146084199122
comp_4e16be0a6f8f,2,Тарифы Webinar СМБ,0.3514785242401662,4055.8743402990303
comp_4e16be0a6f8f,3,Enterprise-300,0.01555559596926582,298.99841273690936
comp_4e96085839c4,1,Тарифы Webinar СМБ,0.9712772877390322,11208.020851835008
comp_4e96085839c4,2,Расширения,0.012839633070683306,160.47264456622247
comp_4e96085839c4,3,Общие Тарифы Webinar Enterprise,0.006113116418090362,361.75265391758256
comp_4e9b0b7a7910,1,Расширения,0.8592110965670232,10738.615048242684
comp_4e9b0b7a7910,2,Тарифы Webinar СМБ,0.10542050339236783,1216.4962726381266
comp_4e9b0b7a7910,3,Enterprise-100,0.010504917039549054,155.9508665307585
comp_4ea77bcf3e80,1,Тарифы Webinar СМБ,0.968642947777513,11177.621976465174
comp_4ea77bcf3e80,2,Расширения,0.017823672834866074,222.76430330589517
comp_4ea77bcf3e80,3,Enterprise-150,0.0030861001117912608,51.79023640842984
comp_4eb587bf2aed,1,Enterprise Total-500,0.6244973529357994,26212.235560558624
comp_4eb587bf2aed,2,Расширения,0.33184961947552677,4147.5317668636735
comp_4eb587bf2aed,3,Тарифы Webinar СМБ,0.025356635704536536,292.60202549407217
comp_4ef57289b3ce,1,Тарифы Webinar СМБ,0.9740659804153065,11240.200875047329
comp_4ef57289b3ce,2,Расширения,0.014907471493718783,186.31695790862005
comp_4ef57289b3ce,3,Enterprise-100,0.002355190984231425,34.96401479931036
comp_4ef7f0cd3ac6,1,Enterprise-150,0.9108918504064832,15286.381700586498
comp_4ef7f0cd3ac6,2,Тарифы Webinar СМБ,0.03432437674812679,396.08496479391704
comp_4ef7f0cd3ac6,3,Расширения,0.03373210052732069,421.59143868001064
comp_4ef95f87f436,1,Расширения,0.5263268490067552,6578.152265049578
comp_4ef95f87f436,2,Enterprise Total-150,0.424281932889582,10555.141490024334
comp_4ef95f87f436,3,Тарифы Webinar СМБ,0.024959304512128758,288.01703586669464
comp_4fc3fc0c8cbc,1,Тарифы Webinar СМБ,0.7011536074028598,8090.937934319395
comp_4fc3fc0c8cbc,2,Расширения,0.2652553394265074,3315.2213594229534
comp_4fc3fc0c8cbc,3,Enterprise-300,0.009727398893880291,186.97302469641392
comp_4fc4dfbaf17d,1,Тарифы Webinar СМБ,0.9762810253092263,11265.761309407526
comp_4fc4dfbaf17d,2,Расширения,0.01331556458075625,166.4209444618157
comp_4fc4dfbaf17d,3,Enterprise-100,0.0018401774883943978,27.31837603334564
comp_50498c9cfc44,1,Расширения,0.8376364676868248,10468.97044602696
comp_50498c9cfc44,2,Тарифы Webinar СМБ,0.11440920551556018,1320.2210915950197
comp_50498c9cfc44,3,Enterprise-150,0.013770034152965462,231.08560911859067
comp_509590d4b70d,1,Тарифы Webinar СМБ,0.9777002394089077,11282.138281692623
comp_509590d4b70d,2,Расширения,0.014186222464083995,177.30262404571656
comp_509590d4b70d,3,Enterprise-300,0.0011577610185618619,22.253644769548636
comp_50b92cd2b3c8,1,Тарифы Webinar СМБ,0.9736946128287433,11235.915491556498
comp_50b92cd2b3c8,2,Расширения,0.014841226327373974,185.48901080339058
comp_50b92cd2b3c8,3,Enterprise-500,0.0030395563835755555,60.766811220442506
comp_50f8d69925a1,1,Расширения,0.6675650529966131,8343.379353959674
comp_50f8d69925a1,2,Тарифы Webinar СМБ,0.11767860070457212,1357.948164917855
comp_50f8d69925a1,3,Enterprise Total-1000,0.06833146660323912,4175.288235204818
comp_5125edf94437,1,Тарифы Webinar СМБ,0.7421445523973106,8563.951534074924
comp_5125edf94437,2,Расширения,0.21485983796394434,2685.366958645436
comp_5125edf94437,3,Enterprise-500,0.010905780552073913,218.02836479706167
comp_512a88a6dd04,1,Тарифы Webinar СМБ,0.5433687711278428,6270.185243612061
comp_512a88a6dd04,2,Расширения,0.43117993349106537,5388.98454732218
comp_512a88a6dd04,3,Enterprise-300,0.0047104505825399335,90.54087353758672
comp_512f9d5e8ab9,1,Тарифы Webinar СМБ,0.5422905715859321,6257.7433970861275
comp_512f9d5e8ab9,2,Расширения,0.37603889023677906,4699.819289526782
comp_512f9d5e8ab9,3,Enterprise-500,0.023546181293417356,470.7352564179998
comp_51435ba40a0d,1,Enterprise-150,0.9244295629094458,15513.568540144608
comp_51435ba40a0d,2,Тарифы Webinar СМБ,0.04207688820189904,485.5448040435662
comp_51435ba40a0d,3,Расширения,0.01738417481349244,217.27135741069787
comp_516351c254c1,1,Расширения,0.7629665803445066,9535.729268080588
comp_516351c254c1,2,Enterprise-5000,0.1227018678427948,3174.9108304323154
comp_516351c254c1,3,Дополнительные услуги,0.0509595500453588,620.8745178995756
comp_519169db55a3,1,Общие Тарифы Webinar Enterprise,0.6854810671844236,40564.35021103118
comp_519169db55a3,2,Расширения,0.2026767545902211,2533.100021016501
comp_519169db55a3,3,Тарифы Webinar СМБ,0.05398222194183011,622.9259932154213
comp_52171b7d58be,1,Дополнительные услуги,0.7712248287365255,9396.351484810322
comp_52171b7d58be,2,Расширения,0.16728994259276955,2090.8276232978515
comp_52171b7d58be,3,Тарифы Webinar СМБ,0.04164717929416677,480.58619288393146
comp_527f8bbcacd8,1,Расширения,0.46841874394590655,5854.403641566641
comp_527f8bbcacd8,2,Общие Тарифы Webinar Enterprise,0.32083449090002003,18985.85281443648
comp_527f8bbcacd8,3,Тарифы Webinar СМБ,0.13092121966906564,1510.7609109385653
comp_529e11ca455f,1,Расширения,0.38311846863859256,4788.301465169864
comp_529e11ca455f,2,Тарифы Webinar СМБ,0.25293836753662413,2918.773591606207
comp_529e11ca455f,3,Enterprise-300,0.12661585235873843,2433.7183195932826
comp_52bd6406a535,1,Тарифы Webinar СМБ,0.9686874960754613,11178.136040016974
comp_52bd6406a535,2,Расширения,0.017584597206183866,219.77628190569138
comp_52bd6406a535,3,Enterprise-300,0.0026493968215319233,50.9247891185519
comp_52d0fd029779,1,Тарифы Webinar СМБ,0.7051417880025378,8136.959407163805
comp_52d0fd029779,2,Расширения,0.2570912567588445,3213.1848036331694
comp_52d0fd029779,3,Enterprise-300,0.006507619997117822,125.08476394460085
comp_52f54a065185,1,Расширения,0.8617096659095892,10769.842734254144
comp_52f54a065185,2,Тарифы Webinar СМБ,0.09214567846673903,1063.3118870367175
comp_52f54a065185,3,Enterprise-100,0.020713276824445907,307.4991889324318
comp_532871bd8bd9,1,Тарифы Webinar СМБ,0.9492655681273596,10954.017370536001
comp_532871bd8bd9,2,Расширения,0.02566217727937059,320.7317086615676
comp_532871bd8bd9,3,Enterprise-100,0.00561606196077974,83.37331232380946
comp_535447f59805,1,Расширения,0.7902565202120287,9876.805122545125
comp_535447f59805,2,Тарифы Webinar СМБ,0.12421014248210316,1433.3186665874757
comp_535447f59805,3,Общие Тарифы Webinar Enterprise,0.02854122831158058,1688.9691577323565
comp_535786edcc97,1,Расширения,0.7092231267218588,8864.031402302757
comp_535786edcc97,2,Enterprise-300,0.18308328355205483,3519.094433211198
comp_535786edcc97,3,Enterprise Total-300,0.03653576344685572,1141.7904293941453
comp_53825f3f8106,1,Расширения,0.780311685809759,9752.51232792086
comp_53825f3f8106,2,Тарифы Webinar СМБ,0.13213266304138585,1524.7403200621836
comp_53825f3f8106,3,Enterprise Total-5000,0.027189863977550452,4671.801271285544
comp_5414ee0dfa8d,1,Доски,0.34409700555334044,5514.330073688991
comp_5414ee0dfa8d,2,МТС Линк. Корпорация,0.21583277274477533,5581.88205374419
comp_5414ee0dfa8d,3,Расширения,0.19223372848038311,2402.580713502472
comp_5416915f313b,1,Тарифы Webinar СМБ,0.963928382292374,11123.218410221198
comp_5416915f313b,2,Расширения,0.019141106598493454,239.22988911557331
comp_5416915f313b,3,Enterprise-50,0.007223612871469187,103.39936835875568
comp_548b498c32b6,1,Доски,0.4558178278563636,7304.71325151448
comp_548b498c32b6,2,МТС Линк. Корпорация,0.25220525270234656,6522.54963885379
comp_548b498c32b6,3,Расширения,0.09655189282867006,1206.7274426609927
comp_54a461084b57,1,Расширения,0.7064954961039539,8829.940856549201
comp_54a461084b57,2,Тарифы Webinar СМБ,0.2034841987270501,2348.098911754327
comp_54a461084b57,3,Enterprise Total-300,0.02110736026396316,659.6326356837492
